//-------------------------------------------------------//
//		Proyecto OGC-Files V. 1.0                //
//   Version GS 1.00.18 Y GS-CS 1.00.19 Protocolo Eng    //
//           http://www.ogc-files.com.ar                 //
//-------------------------------------------------------//
//                    Code By ElChapu                    //
//             http://www.ogc-soft.com                   //
//-------------------------------------------------------//
//    OGC-Files Team: ElChapu, xCUERVOX, LucasTocxy      //
//-------------------------------------------------------//
//=================================================================================================================================
//Type	Index	Level	Opt	Luck	Skill	Dur	Rate	MonsterMinLvl	MonsterMaxLvl	Exc	Ancient
//=================================================================================================================================
//12	15	0	0	0	0	0	32	    12		200		0	0	//Jewel of Chaos
//14	13	0	0	0	0	0	32	    25		200		0	0	//Jewel of Bless
//14	14	0	0	0	0	0	28	    30		200		0	0	//Jewel of Soul
//14	16	0	0	0	0	0	22	    72		200		0	0	//Jewel of Life
//14	22	0	0	0	0	0	20	    78		200		0	0	//Jewel of Creation
//13	14	0	0	0	0	0	16	    78		200		0	0	//Loch's Feather
//13	14	1	0	0	0	0	12	    78		200		0	0	//Crest of Monarch

14	41	0	0	0	0	0	20	    80		200		0	0	//Gemstone
14	18	1	0	0	0	0	150	    3		35		0	0	//Devil Key +1
14	18	2	0	0	0	0	150	    36		46		0	0	//Devil Key +2
14	18	3	0	0	0	0	150	    47		59		0	0	//Devil Key +3
14	18	4	0	0	0	0	150	    60		69		0	0	//Devil Key +4
14	18	5	0	0	0	0	150	    70		79		0	0	//Devil Key +5
14	18	6	0	0	0	0	150	    80		200		0	0	//Devil Key +6

//Hell Maine Drop:
0	20	0	0	1	1	0	400	    122		122		0	0	//Knight Blade
0	24	0	0	1	1	0	250	    122		122		0	0	//Daybreak
0	25	0	0	1	1	0	250	    122		122		0	0	//Sword Dancer
0	31	0	0	1	1	0	250	    122		122		0	0	//Rune Blade
2	15	0	0	1	1	0	320	    122		122		0	0	//Shining Scepter
4	19	0	0	1	1	0	250	    122		122		0	0	//Great Reign Crossbow
4	22	0	0	1	1	0	250	    122		122		0	0	//Albatross Bow
5	9	0	0	1	1	0	250	    122		122		0	0	//Dragon Soul Staff
5	13	0	0	1	1	0	250	    122		122		0	0	//Platina Staff
end
